I,S
2.68E+02,1.78E+05
4.77E+02,1.78E+05
4.98E+02,1.77E+05
6.00E+02,1.77E+05
6.71E+02,1.75E+05
7.73E+02,1.74E+05
7.54E+02,1.72E+05
9.03E+02,1.70E+05
8.80E+02,1.68E+05
6.52E+02,1.67E+05
4.89E+02,1.65E+05
4.68E+02,1.64E+05
4.11E+02,1.63E+05
2.77E+02,1.62E+05
2.86E+02,1.62E+05
2.09E+02,1.62E+05
1.75E+02,1.62E+05
1.48E+02,1.62E+05
9.60E+01,1.63E+05
8.40E+01,1.63E+05
1.04E+02,1.63E+05
1.39E+02,1.64E+05
2.08E+02,1.64E+05
2.66E+02,1.64E+05
2.28E+02,1.65E+05
1.81E+02,1.65E+05
1.88E+02,1.65E+05
1.88E+02,1.66E+05
1.75E+02,1.66E+05
1.23E+02,1.66E+05
1.26E+02,1.66E+05
9.10E+01,1.66E+05
6.00E+01,1.66E+05
5.00E+01,1.66E+05
5.90E+01,1.67E+05
4.30E+01,1.67E+05
4.20E+01,1.68E+05
3.80E+01,1.68E+05
2.80E+01,1.69E+05
3.40E+01,1.70E+05
1.70E+01,1.70E+05
1.60E+01,1.71E+05
1.30E+01,1.72E+05
1.00E+01,1.73E+05
7.00E+00,1.73E+05
5.00E+00,1.74E+05
1.30E+01,1.75E+05
1.80E+01,1.75E+05
3.00E+01,1.76E+05
7.00E+01,1.77E+05
8.10E+01,1.77E+05
2.20E+02,1.78E+05
4.64E+02,1.78E+05
7.30E+02,1.78E+05
9.94E+02,1.77E+05
1.55E+03,1.77E+05
2.00E+03,1.75E+05
1.68E+03,1.74E+05
1.27E+03,1.72E+05
1.02E+03,1.70E+05
1.05E+03,1.68E+05
8.18E+02,1.67E+05
6.81E+02,1.65E+05
6.16E+02,1.64E+05
5.28E+02,1.63E+05
2.90E+02,1.62E+05
4.31E+02,1.62E+05
2.66E+02,1.62E+05
2.77E+02,1.62E+05
2.32E+02,1.62E+05
1.82E+02,1.63E+05
1.93E+02,1.63E+05
2.17E+02,1.63E+05
2.82E+02,1.64E+05
4.98E+02,1.64E+05
7.48E+02,1.64E+05
8.96E+02,1.65E+05
9.84E+02,1.65E+05
9.95E+02,1.65E+05
6.86E+02,1.66E+05
4.64E+02,1.66E+05
2.90E+02,1.66E+05
1.89E+02,1.66E+05
1.91E+02,1.66E+05
1.55E+02,1.66E+05
1.42E+02,1.66E+05
1.33E+02,1.67E+05
6.70E+01,1.67E+05
6.40E+01,1.68E+05
5.30E+01,1.68E+05
3.60E+01,1.69E+05
3.60E+01,1.70E+05
2.80E+01,1.70E+05
2.50E+01,1.71E+05
2.40E+01,1.72E+05
2.40E+01,1.73E+05
2.90E+01,1.73E+05
3.30E+01,1.74E+05
2.00E+01,1.75E+05
3.40E+01,1.75E+05
2.80E+01,1.76E+05
2.30E+01,1.77E+05
4.30E+01,1.77E+05
6.80E+01,1.78E+05
9.70E+01,1.78E+05
1.40E+02,1.78E+05
1.66E+02,1.77E+05
2.29E+02,1.77E+05
3.05E+02,1.75E+05
6.14E+02,1.74E+05
1.01E+03,1.72E+05
1.17E+03,1.70E+05
1.27E+03,1.68E+05
1.29E+03,1.67E+05
1.01E+03,1.65E+05
7.77E+02,1.64E+05
6.58E+02,1.63E+05
9.70E+02,1.62E+05
