,time,betalow,beta,betahigh
1,1,7.57E-05,1.56E-05,9.18E-05
2,2,7.57E-05,1.56E-05,9.18E-05
3,3,7.44E-05,1.57E-05,9.04E-05
4,4,7.44E-05,1.57E-05,9.04E-05
5,5,7.57E-05,1.63E-05,9.19E-05
6,6,7.57E-05,1.63E-05,9.19E-05
7,7,8.17E-05,1.80E-05,9.89E-05
8,8,8.17E-05,1.80E-05,9.89E-05
9,9,7.36E-05,1.58E-05,8.91E-05
10,10,7.36E-05,1.58E-05,8.91E-05
11,11,7.15E-05,1.59E-05,8.66E-05
12,12,7.15E-05,1.59E-05,8.66E-05
13,13,8.25E-05,1.87E-05,9.95E-05
14,14,8.25E-05,1.87E-05,9.95E-05
15,15,7.49E-05,1.64E-05,9.07E-05
16,16,7.49E-05,1.64E-05,9.07E-05
17,17,7.27E-05,1.61E-05,8.79E-05
18,18,7.27E-05,1.61E-05,8.79E-05
19,19,7.20E-05,1.64E-05,8.69E-05
20,20,7.20E-05,1.64E-05,8.69E-05
21,21,7.38E-05,1.70E-05,8.89E-05
22,22,7.38E-05,1.70E-05,8.89E-05
23,23,6.01E-05,1.39E-05,7.23E-05
24,24,6.01E-05,1.39E-05,7.23E-05
25,25,5.82E-05,1.48E-05,6.95E-05
26,26,5.82E-05,1.48E-05,6.95E-05
27,27,5.88E-05,1.55E-05,6.99E-05
28,28,5.88E-05,1.55E-05,6.99E-05
29,29,5.77E-05,1.49E-05,6.86E-05
30,30,5.77E-05,1.49E-05,6.86E-05
31,31,7.14E-05,1.88E-05,8.49E-05
32,32,7.14E-05,1.88E-05,8.49E-05
33,33,7.01E-05,1.72E-05,8.39E-05
34,34,7.01E-05,1.72E-05,8.39E-05
35,35,6.92E-05,1.62E-05,8.30E-05
36,36,6.92E-05,1.62E-05,8.30E-05
37,37,7.46E-05,1.75E-05,8.98E-05
38,38,7.46E-05,1.75E-05,8.98E-05
39,39,7.73E-05,1.72E-05,9.33E-05
40,40,7.73E-05,1.72E-05,9.33E-05
41,41,7.63E-05,1.64E-05,9.26E-05
42,42,7.63E-05,1.64E-05,9.26E-05
43,43,7.82E-05,1.67E-05,9.49E-05
44,44,7.82E-05,1.67E-05,9.49E-05
45,45,7.68E-05,1.61E-05,9.34E-05
46,46,7.68E-05,1.61E-05,9.34E-05
47,47,7.59E-05,1.63E-05,9.21E-05
48,48,7.59E-05,1.63E-05,9.21E-05
49,49,7.41E-05,1.55E-05,9.01E-05
50,50,7.41E-05,1.55E-05,9.01E-05
51,51,7.67E-05,1.61E-05,9.31E-05
52,52,7.67E-05,1.61E-05,9.31E-05
