,time,betalow,beta,betahigh
1,1,7.19E-05,6.36E-05,8.32E-05
2,2,7.19E-05,6.36E-05,8.32E-05
3,3,6.67E-05,6.37E-05,7.73E-05
4,4,6.67E-05,6.37E-05,7.73E-05
5,5,7.59E-05,7.33E-05,8.78E-05
6,6,7.59E-05,7.33E-05,8.78E-05
7,7,7.39E-05,6.85E-05,8.56E-05
8,8,7.39E-05,6.85E-05,8.56E-05
9,9,6.85E-05,6.38E-05,7.94E-05
10,10,6.85E-05,6.38E-05,7.94E-05
11,11,6.37E-05,5.98E-05,7.38E-05
12,12,6.37E-05,5.98E-05,7.38E-05
13,13,6.79E-05,6.40E-05,7.83E-05
14,14,6.79E-05,6.40E-05,7.83E-05
15,15,7.35E-05,6.63E-05,8.48E-05
16,16,7.35E-05,6.63E-05,8.48E-05
17,17,7.08E-05,6.55E-05,8.20E-05
18,18,7.08E-05,6.55E-05,8.20E-05
19,19,7.11E-05,6.63E-05,8.22E-05
20,20,7.11E-05,6.63E-05,8.22E-05
21,21,7.99E-05,7.46E-05,9.26E-05
22,22,7.99E-05,7.46E-05,9.26E-05
23,23,7.11E-05,6.72E-05,8.26E-05
24,24,7.11E-05,6.72E-05,8.26E-05
25,25,7.08E-05,6.64E-05,8.21E-05
26,26,7.08E-05,6.64E-05,8.21E-05
27,27,7.06E-05,6.62E-05,8.17E-05
28,28,7.06E-05,6.62E-05,8.17E-05
29,29,7.63E-05,7.21E-05,8.82E-05
30,30,7.63E-05,7.21E-05,8.82E-05
31,31,7.96E-05,7.31E-05,9.23E-05
32,32,7.96E-05,7.31E-05,9.23E-05
33,33,7.36E-05,6.78E-05,8.55E-05
34,34,7.36E-05,6.78E-05,8.55E-05
35,35,6.43E-05,5.65E-05,7.46E-05
36,36,6.43E-05,5.65E-05,7.46E-05
37,37,5.97E-05,5.61E-05,6.89E-05
38,38,5.97E-05,5.61E-05,6.89E-05
39,39,5.63E-05,5.19E-05,6.47E-05
40,40,5.63E-05,5.19E-05,6.47E-05
41,41,6.18E-05,5.42E-05,7.08E-05
42,42,6.18E-05,5.42E-05,7.08E-05
43,43,5.79E-05,5.28E-05,6.64E-05
44,44,5.79E-05,5.28E-05,6.64E-05
45,45,6.52E-05,5.88E-05,7.47E-05
46,46,6.52E-05,5.88E-05,7.47E-05
47,47,7.03E-05,6.57E-05,8.08E-05
48,48,7.03E-05,6.57E-05,8.08E-05
49,49,7.84E-05,7.43E-05,9.05E-05
50,50,7.84E-05,7.43E-05,9.05E-05
51,51,7.16E-05,6.57E-05,8.30E-05
52,52,7.16E-05,6.57E-05,8.30E-05
