,time,betalow,beta,betahigh
1,1,8.82E-05,1.52E-05,0.000112857
2,2,8.82E-05,1.52E-05,0.000112857
3,3,8.87E-05,1.60E-05,0.000113546
4,4,8.87E-05,1.60E-05,0.000113546
5,5,0.000103882,1.83E-05,0.00013334
6,6,0.000103882,1.83E-05,0.00013334
7,7,0.000108647,1.81E-05,0.000140173
8,8,0.000108647,1.81E-05,0.000140173
9,9,9.89E-05,1.61E-05,0.000128277
10,10,9.89E-05,1.61E-05,0.000128277
11,11,0.000108078,1.70E-05,0.000140472
12,12,0.000108078,1.70E-05,0.000140472
13,13,0.000108109,1.72E-05,0.000140666
14,14,0.000108109,1.72E-05,0.000140666
15,15,0.000107582,1.66E-05,0.000140457
16,16,0.000107582,1.66E-05,0.000140457
17,17,9.79E-05,1.52E-05,0.000127627
18,18,9.79E-05,1.52E-05,0.000127627
19,19,9.96E-05,1.62E-05,0.000129109
20,20,9.96E-05,1.62E-05,0.000129109
21,21,9.93E-05,1.63E-05,0.000128576
22,22,9.93E-05,1.63E-05,0.000128576
23,23,8.60E-05,1.44E-05,0.000110954
24,24,8.60E-05,1.44E-05,0.000110954
25,25,8.25E-05,1.49E-05,0.000105464
26,26,8.25E-05,1.49E-05,0.000105464
27,27,8.56E-05,1.62E-05,0.000108836
28,28,8.56E-05,1.62E-05,0.000108836
29,29,9.48E-05,1.75E-05,0.000120657
30,30,9.48E-05,1.75E-05,0.000120657
31,31,0.000122955,2.11E-05,0.000158484
32,32,0.000122955,2.11E-05,0.000158484
33,33,0.000104156,1.62E-05,0.000135857
34,34,0.000104156,1.62E-05,0.000135857
35,35,9.79E-05,1.53E-05,0.000127587
36,36,9.79E-05,1.53E-05,0.000127587
37,37,0.000102744,1.65E-05,0.000133472
38,38,0.000102744,1.65E-05,0.000133472
39,39,0.000103687,1.66E-05,0.000134612
40,40,0.000103687,1.66E-05,0.000134612
41,41,9.83E-05,1.57E-05,0.000127779
42,42,9.83E-05,1.57E-05,0.000127779
43,43,0.000106532,1.72E-05,0.000138246
44,44,0.000106532,1.72E-05,0.000138246
45,45,9.72E-05,1.58E-05,0.000126029
46,46,9.72E-05,1.58E-05,0.000126029
47,47,9.50E-05,1.57E-05,0.000122848
48,48,9.50E-05,1.57E-05,0.000122848
49,49,0.000105032,1.75E-05,0.000135609
50,50,0.000105032,1.75E-05,0.000135609
51,51,8.60E-05,1.38E-05,0.000111228
52,52,8.60E-05,1.38E-05,0.000111228
